"plot","soil_temp_c","soil_moist_percent","date"
"348","UP_1",18.3,21.9,2023-06-15
"349","SW_2",18.2,19.5,2023-06-15
"350","SW_2",18.2,25.3,2023-06-15
"351","SW_2",18.2,19.5,2023-06-15
"352","SW_2",18.2,25.3,2023-06-15
"353","SW_2",18.2,19.5,2023-06-15
"354","SW_2",18.2,25.3,2023-06-15
"355","UP_2",18.1,15.8,2023-06-15
"356","UP_2",18.1,15.8,2023-06-15
"357","UP_2",18.1,15.8,2023-06-15
"358","UP_1",18,25.5,2023-06-15
"359","UP_1",18,25.5,2023-06-15
"360","UP_1",18,25.5,2023-06-15
"361","UP_1",17.9,23.5,2023-06-15
"362","UP_1",17.9,23.5,2023-06-15
"363","UP_1",17.9,23.5,2023-06-15
"364","UP_2",15.8,28.3,2023-05-18
"365","UP_2",15.8,22.3,2023-05-18
"366","UP_2",15.8,28.3,2023-05-18
"367","UP_2",15.8,22.3,2023-05-18
"368","UP_2",15.8,28.3,2023-05-18
"369","UP_2",15.8,22.3,2023-05-18
"370","UP_2",15.7,29.8,2023-05-18
"371","UP_2",15.7,29.8,2023-05-18
"372","UP_2",15.7,29.8,2023-05-18
"373","UP_2",15.6,33.9,2023-05-18
"374","UP_2",15.6,33.9,2023-05-18
"375","UP_2",15.6,33.9,2023-05-18
"376","UP_1",15.3,29.9,2022-09-30
"377","UP_1",15.3,29.9,2022-09-30
"378","UP_1",15.3,29.9,2022-09-30
"379","UP_1",15.1,28.9,2022-09-30
"380","UP_2",15.1,35.5,2022-09-30
"381","UP_1",15.1,28.9,2022-09-30
"382","UP_2",15.1,35.5,2022-09-30
"383","UP_1",15.1,28.9,2022-09-30
"384","UP_2",15.1,35.5,2022-09-30
"385","SW_2",15.1,52.9,2023-05-18
"386","SW_2",15.1,52.9,2023-05-18
"387","SW_2",15.1,52.9,2023-05-18
"388","UP_1",14.9,30.6,2022-09-30
"389","UP_2",14.9,38.5,2022-09-30
"390","UP_1",14.9,30.6,2022-09-30
"391","UP_2",14.9,38.5,2022-09-30
"392","UP_1",14.9,30.6,2022-09-30
"393","UP_2",14.9,38.5,2022-09-30
"394","SW_2",14.9,48.8,2023-05-18
"395","SW_2",14.9,48.8,2023-05-18
"396","SW_2",14.9,48.8,2023-05-18
"397","UP_2",14.8,35.7,2022-09-30
"398","UP_2",14.8,35.7,2022-09-30
"399","UP_2",14.8,35.7,2022-09-30
"400","SW_2",14.8,46.2,2023-05-18
"401","UP_1",14.8,40.8,2023-05-18
"402","SW_2",14.8,46.2,2023-05-18
"403","UP_1",14.8,40.8,2023-05-18
"404","SW_2",14.8,46.2,2023-05-18
"405","UP_1",14.8,40.8,2023-05-18
"406","SW_2",14.7,52.8,2023-05-18
"407","SW_2",14.7,52.8,2023-05-18
"408","SW_2",14.7,52.8,2023-05-18
"409","SW_1",14.6,46.5,2022-09-30
"410","UP_1",14.6,23.5,2022-09-30
"411","SW_1",14.6,46.5,2022-09-30
"412","UP_1",14.6,23.5,2022-09-30
"413","SW_1",14.6,46.5,2022-09-30
"414","UP_1",14.6,23.5,2022-09-30
"415","UP_1",14.6,40.2,2023-05-18
"416","UP_1",14.6,40.2,2023-05-18
"417","UP_1",14.6,40.2,2023-05-18
"418","SW_1",14.5,43.4,2022-09-30
"419","UP_2",14.5,30.1,2022-09-30
"420","SW_1",14.5,43.4,2022-09-30
"421","UP_2",14.5,30.1,2022-09-30
"422","SW_1",14.5,43.4,2022-09-30
"423","UP_2",14.5,30.1,2022-09-30
"424","SW_1",14.4,44.3,2022-09-30
"425","SW_1",14.4,44.3,2022-09-30
"426","SW_1",14.4,44.3,2022-09-30
"427","SW_1",14.3,43.4,2022-09-30
"428","SW_1",14.3,43.4,2022-09-30
"429","SW_1",14.3,43.4,2022-09-30
"430","UP_1",14.3,42.9,2023-05-18
"431","UP_1",14.3,42.9,2023-05-18
"432","UP_1",14.3,42.9,2023-05-18
"433","UP_1",14.2,40.8,2023-05-18
"434","UP_1",14.2,40.8,2023-05-18
"435","UP_1",14.2,40.8,2023-05-18
"436","SW_1",14,54.2,2023-05-18
"437","SW_1",14,54.2,2023-05-18
"438","SW_1",14,54.2,2023-05-18
"439","SW_1",13.9,53.6,2023-05-18
"440","SW_1",13.9,53.6,2023-05-18
"441","SW_1",13.9,53.6,2023-05-18
"442","SW_2",13.7,35.9,2022-09-30
"443","SW_2",13.7,35.9,2022-09-30
"444","SW_2",13.7,35.9,2022-09-30
"445","SW_1",13.7,53.4,2023-05-18
"446","SW_1",13.7,53.4,2023-05-18
"447","SW_1",13.7,53.4,2023-05-18
"448","SW_1",13.6,52.1,2023-05-18
"449","SW_1",13.6,52.1,2023-05-18
"450","SW_1",13.6,52.1,2023-05-18
"451","SW_2",13.5,12.6,2022-09-30
"452","SW_2",13.5,40.4,2022-09-30
"453","SW_2",13.5,12.9,2022-09-30
"454","SW_2",13.5,12.6,2022-09-30
"455","SW_2",13.5,40.4,2022-09-30
"456","SW_2",13.5,12.9,2022-09-30
"457","SW_2",13.5,12.6,2022-09-30
"458","SW_2",13.5,40.4,2022-09-30
"459","SW_2",13.5,12.9,2022-09-30
"460","UP_1",11.4,31.1,2022-10-19
"461","UP_1",11.4,31.1,2022-10-19
"462","UP_1",11.4,31.1,2022-10-19
"463","SW_1",11.1,30.1,2022-10-19
"464","SW_2",11.1,15.7,2022-10-19
"465","UP_1",11.1,29.1,2022-10-19
"466","SW_1",11.1,30.1,2022-10-19
"467","SW_2",11.1,15.7,2022-10-19
"468","UP_1",11.1,29.1,2022-10-19
"469","SW_1",11.1,30.1,2022-10-19
"470","SW_2",11.1,15.7,2022-10-19
"471","UP_1",11.1,29.1,2022-10-19
"472","UP_1",11.1,39.2,2022-11-02
"473","UP_2",11.1,38.5,2022-11-02
"474","UP_1",11.1,39.2,2022-11-02
"475","UP_2",11.1,38.5,2022-11-02
"476","UP_1",11.1,39.2,2022-11-02
"477","UP_2",11.1,38.5,2022-11-02
"478","SW_2",11,17,2022-10-19
"479","SW_2",11,17,2022-10-19
"480","SW_2",11,17,2022-10-19
"481","UP_2",11,38.1,2022-11-02
"482","UP_2",11,38.1,2022-11-02
"483","UP_2",11,38.1,2022-11-02
"484","UP_2",10.9,42.5,2022-11-02
"485","UP_2",10.9,42.5,2022-11-02
"486","UP_2",10.9,42.5,2022-11-02
"487","SW_2",10.8,21.4,2022-10-19
"488","UP_1",10.8,23.7,2022-10-19
"489","SW_2",10.8,21.4,2022-10-19
"490","UP_1",10.8,23.7,2022-10-19
"491","SW_2",10.8,21.4,2022-10-19
"492","UP_1",10.8,23.7,2022-10-19
"493","SW_2",10.8,37.3,2022-11-02
"494","SW_2",10.8,37.3,2022-11-02
"495","SW_2",10.8,37.3,2022-11-02
"496","UP_1",10.6,26.8,2022-10-19
"497","UP_1",10.6,26.8,2022-10-19
"498","UP_1",10.6,26.8,2022-10-19
"499","SW_2",10.6,34.6,2022-11-02
"500","SW_2",10.6,21.3,2022-11-02
"501","SW_2",10.6,34.6,2022-11-02
"502","SW_2",10.6,21.3,2022-11-02
"503","SW_2",10.6,34.6,2022-11-02
"504","SW_2",10.6,21.3,2022-11-02
"505","SW_2",10.5,12.3,2022-10-19
"506","SW_2",10.5,12.3,2022-10-19
"507","SW_2",10.5,12.3,2022-10-19
"508","SW_1",10.4,22.5,2022-10-19
"509","SW_1",10.4,22.5,2022-10-19
"510","SW_1",10.4,22.5,2022-10-19
"511","SW_2",10.4,41.5,2022-11-02
