plot,mean_wt_c,year,total_cover,total_richness
D8,5.1,1982,82,19
E12,5.1,2020,91,12
K5,5.09,1987,148,12
A1,5.09,1995,199,19
F6,5.08,1980,75,7
D11,5.08,1981,131,23
E16,5.08,1982,131,21
B7,5.08,2005,236,10
E22,5.08,2020,120,3
D6,5.07,1979,105,11
J1,5.07,1982,89,10
I11,5.07,1982,107,16
K6,5.06,1980,129,15
L5,5.06,1980,113,13
B16,5.06,1980,130,15
F8,5.06,1982,135,17
D10,5.06,2005,83,5
F20,5.05,1980,116,7
B10,5.05,1981,98,10
C3,5.05,1982,105,17
H8,5.05,1995,116,19
H3,5.05,2020,88,15
G10,5.04,1979,102,9
F16,5.04,1984,118,10
H6,5.04,1984,203,11
C20,5.04,1995,161,7
C8,5.04,1995,138,15
H7,5.03,1979,116,17
C1,5.03,1980,103,13
F9,5.03,1981,74,8
F20,5.03,1981,118,8
H8,5.03,1982,157,12
J10,5.03,1995,120,23
G12,5.03,1995,121,7
E9,5.03,2005,97,4
B19,5.02,1987,217,22
C14,5.02,1987,186,21
I9,5.02,1995,118,13
C24,5.02,2005,95,7
F6,5.01,1979,71,7
F2,5.01,1981,107,24
F11,5.01,1982,67,17
H9,5.01,1982,120,22
G10,5.01,1987,205,18
E6,5,1981,122,10
E20,5,1984,80,1
K3,5,1984,6,3
J3,5,2005,100,6
B3,5,2020,135,7
C17,5,2020,100,1
C19,5,2020,75,1
D17,5,2020,100,1
D22,5,2020,100,1
E21,5,2020,100,2
E6,4.99,1979,115,8
D15,4.99,1980,99,18
G12,4.99,1982,99,6
C22,4.99,1995,123,17
B12,4.99,1995,159,18
B12,4.98,1979,97,11
C17,4.97,1979,67,14
G12,4.97,1980,113,6
G11,4.97,1982,78,9
F3,4.97,1987,228,16
F8,4.97,2005,139,9
H14,4.97,2005,65,11
H8,4.96,1979,136,10
D15,4.96,1981,101,19
E21,4.96,1987,113,6
F10,4.96,2005,192,8
C9,4.96,2005,115,4
F17,4.96,2020,129,14
C4,4.95,1979,105,15
D7,4.95,1980,133,17
C3,4.95,1987,124,14
D22,4.95,1995,106,5
F19,4.95,1995,124,6
E11,4.95,2005,188,15
C12,4.94,1979,109,11
I2,4.94,1982,82,12
D6,4.94,1982,97,13
C14,4.94,1984,124,11
J2,4.94,1995,77,4
D21,4.94,2005,52,5
C20,4.94,2005,83,8
C12,4.94,2020,102,15
C10,4.92,1987,118,8
K4,4.92,2005,195,8
F10,4.92,2020,133,9
J7,4.91,1984,257,14
D12,4.91,1984,116,12
G10,4.9,1981,113,14
B22,4.9,1987,112,18
K5,4.9,1995,144,13
H6,4.9,1995,107,16
C20,4.9,2020,83,2
C17,4.89,1981,74,20
C15,4.89,1982,73,23
E8,4.89,1984,85,9
A1,4.89,1984,98,17
D12,4.88,1979,104,16
K4,4.88,1979,75,11
D1,4.88,1980,92,19
H7,4.88,1980,138,16
L4,4.88,1984,170,9
H4,4.88,1987,197,17
D21,4.88,1995,100,4
D16,4.88,2005,160,16
G12,4.87,1981,126,7
E6,4.87,1982,113,12
G10,4.87,1982,90,14
C19,4.87,1987,225,13
C15,4.87,2020,126,14
C8,4.86,1979,141,18
D6,4.86,1980,126,12
C8,4.86,1981,166,23
F8,4.86,1987,175,23
C4,4.86,1987,132,15
C11,4.86,2020,118,11
E20,4.85,1987,65,5
F13,4.85,2005,93,16
H4,4.85,2020,151,10
C15,4.84,1981,87,23
B8,4.84,1981,93,20
B17,4.84,1987,219,23
I8,4.84,1987,261,24
F15,4.84,2005,165,12
F13,4.84,2020,211,9
G14,4.83,1980,160,16
H7,4.83,1982,112,17
J11,4.83,1987,143,7
E6,4.82,1980,126,11
F20,4.82,1982,104,7
F20,4.82,1987,146,8
C17,4.81,1982,72,18
D2,4.81,1987,141,15
C8,4.81,2005,124,14
C18,4.81,2020,105,2
G14,4.81,2020,170,15
F10,4.8,1982,76,17
K7,4.8,1984,186,15
B20,4.8,1995,102,17
C8,4.8,2020,130,11
D22,4.79,2005,108,5
F10,4.78,1979,89,13
D10,4.78,1980,107,23
B14,4.78,1987,213,28
C4,4.78,2005,113,11
B4,4.77,1979,78,12
B15,4.77,2005,114,5
J11,4.77,2020,178,11
D15,4.76,1979,78,17
C1,4.76,1987,105,11
B16,4.76,1995,139,11
C4,4.75,1982,99,19
G14,4.75,1995,154,19
K7,4.75,2005,177,12
H9,4.74,1981,152,21
J3,4.74,1982,119,16
K2,4.74,1982,57,5
F8,4.74,2020,140,11
C21,4.73,1984,110,15
B8,4.73,1995,125,17
D10,4.72,1981,94,25
F16,4.72,1981,103,13
C1,4.72,1981,71,16
E10,4.72,1984,127,10
D8,4.72,1995,98,19
C12,4.72,2005,144,8
F11,4.72,2020,155,18
D11,4.71,1979,98,18
B17,4.71,1979,113,17
H4,4.71,1981,98,21
C21,4.71,1982,111,29
I8,4.71,1984,221,13
